,,(1=male;  2=female),,,(1=happy;2=sad),,,(1=HM1/SM1; 2=HM2/SM2 ; 3=HM3/SM3),,,"[min:sec,ms]",(-100=negative;100=positive),,,,LEXICAL FEATURES,,,,,ACOUSTIC FEATURES,,,,,,,,,,FACIAL FEATURES,,,,,,,,,,,,,,,,,,,,,,
#segments,Participant,gender ,Age ,Cue_word,Cue_word_coded,Emotion_Memory_Aggregated,Emotional_memory,Emo_Mem_coded,Emotional_Memory_Topic,Emotional_Memory_Topic_Coded,Emotional_memory_duration ,Question: How did you feel at that moment when the emotional event happened?,Past Valence,Question: How did you feel now when talking about this emotional memory?,Present Valence,sentiment_M,sentiment_SD,interval_number,starttime,endtime,z_mean_pitch,z_sd_pitch,z_range_pitch,z_mean_intens,z_sd_intens,z_range_intens,z_hammarberg,z_ar,z_mean_dur_silent,z_sil_rate,AU01_int_dur_pmin,AU01_int_std,AU01_int_zscore,AU04_int_dur_pmin,AU04_int_std,AU04_int_zscore,AU09_int_dur_pmin,AU09_int_std,AU09_int_zscore,AU10_int_dur_pmin,AU10_int_std,AU10_int_zscore,AU12_int_dur_pmin,AU12_int_std,AU12_int_zscore,AU14_int_dur_pmin,AU14_int_std,AU14_int_zscore,AU15_int_dur_pmin,AU15_int_std,AU15_int_zscore,duration,topic_index
32,1,1,70,Happy,1,,HM3,3,HM3.13,13,"00:36,36",24,0.24,66,0.66,0.15,0.304138126514911,22,293.05,329.14,-0.00418612952268225,0.211095250949419,-0.243435782614339,-0.221652706869131,0.653053371468295,0.696830810937187,-1.07490349052036,-0.337694071699427,0.244139845438618,-0.626145294210845,0,0.286571,-0.112238,7.08819,0.0818942,0.681506,0,0,-0.501315,53.8769,0.3052,0.663691,33.6772,0.323697,1.33996,56.9052,0.602047,0.408782,0,0.266937,-0.276987,36.088,13
33,1,1,70,Happy,1,,HM3,3,HM3.14,14,"00:33,33",24,0.24,66,0.66,0.369958333333333,0.561016609891431,24,331.3,364.18,0.842774805241568,0.934600428390835,0.255961533879544,0.143910417136071,-0.447209391164415,-0.588696554671103,-1.47901142214759,-0.298105779863848,-0.461576994481062,0.237393619450091,0,0.30382,-0.0755457,19.3914,0.109855,0.659901,0,0,-0.501315,54.5953,0.43305,0.32986,50.6512,0.577002,2.44069,59.4887,0.840968,-0.139845,0,0.165207,-0.467757,32.88,14
34,1,1,70,Sad,2,SM1,SM1,1,SM1.1,1,"00:31,31",-85,-0.85,59,0.59,-0.00652777777777776,0.144347389936505,2,41.85,72.67,-0.229310212666628,-0.479888198870566,-0.341352100057246,-0.948763474852442,-0.922724190497968,-1.33368740646974,0.0150707418279262,0.250474835572025,-0.738431769669913,-0.40198623822569,24.2727,0.0432049,1.7149,0.233766,0.0194079,-0.0518667,0,0,-0.550975,53.2597,0.302754,-0.560234,17.8831,0.0750333,0.589302,56.961,0.137097,-1.75661,0,0,-0.649542,30.817,1
35,1,1,70,Sad,2,,SM1,1,SM1.2,2,"00:12,12",-85,-0.85,59,0.59,0.308333333333333,0.0117851130197758,3,72.67,84.52,0.29485726441343,0.402648460440701,-0.113922241705647,-0.266981298713461,-0.110886545228012,0.452234432406389,0.764544399801252,1.44872759738105,-0.419085043225812,-2.25694003708272,0,0.351298,-0.236884,1.42132,0.0469802,0.0893902,0,0,-0.550975,49.7462,0.124377,-0.236754,31.1675,0.085479,0.786744,58.7817,0.481618,-0.195838,0,0.116295,-0.400025,11.853,2
36,1,1,70,Sad,2,,SM1,1,SM1.3,3,"00:47,47",-85,-0.85,59,0.59,0.116689814814815,0.311015928209969,5,85.76,132.77,0.811935423968112,-0.474315940243842,-0.141990515037722,1.14461437235015,-0.561471442460584,-0.692857170572425,0.637029367273813,-0.218575729301302,-1.05909268017345,0.645092305168058,0.153191,0.109621,2.00593,11.4638,0.147928,0.445253,0,0,-0.550975,47.617,0.229618,-0.14215,21.9064,0.138011,0.850289,59.0298,0.554073,-0.621795,0,0.267588,0.0997339,47.015,3
37,1,1,70,Sad,2,,SM1,1,SM1.4,4,"00:22,22",-85,-0.85,59,0.59,-0.121666666666667,0.392240714074633,7,133.2,154.99,1.08501865516742,1.21008042550617,-0.0431772337899646,0.412715916642222,0.0376541214570061,0.0614633297925054,1.51624041114411,0.317633544935954,-1.03937991928184,0.727835580867277,1.15702,0.165594,2.14896,6.2259,0.086877,0.0706945,0,0,-0.550975,46.7769,0.167703,-0.380263,31.0193,0.0982575,0.83791,59.8347,0.512183,-0.302724,0,0.219194,-0.339273,21.795,4
38,1,1,70,Sad,2,,SM1,1,SM1.5,5,"00:28,28",-85,-0.85,59,0.59,0.0619047619047619,0.413847606335764,9,159.37,187.82,-0.19818181844849,-0.769201425443853,-0.186927062908773,0.370398934818215,-0.125313571906823,-0.17208478069926,-0.368975945868935,0.694429251156727,-0.83392914465594,1.55075506827587,6.12245,0.14128,1.89897,0.760028,0.0556349,0.0482596,0,0,-0.550975,53.2442,0.428222,0.98103,18.4518,0.420887,3.8532,58.1844,0.67049,0.315282,0,0.18829,-0.272504,28.447,5
39,1,1,70,Sad,2,,SM1,1,SM1.6,6,"00:41,41",-85,-0.85,59,0.59,-0.029077380952381,0.286421755549669,10,187.82,229.11,0.500957495492878,0.714180581202508,-0.0866036694641926,-0.114933603072092,-0.0895345457433751,-0.162079960197248,0.445606659471201,1.07829429520528,1.88862216515214,-0.0589777498725649,1.22093,0.139482,1.87472,12.2384,0.169457,0.488671,0,0,-0.550975,53.9244,0.188608,-0.424803,38.5465,0.0470815,0.600649,60,0.548945,0.735782,0,0.190234,-0.305117,41.29,6
40,1,1,70,Sad,2,,SM1,1,SM1.7,7,"00:16,16",-85,-0.85,59,0.59,-0.125,0.206155281280883,11,229.11,245.56,0.388123441737676,-0.793532322552433,-0.166436125599761,1.03820415163212,-1.31779388907048,-1.09983239964356,0.779740491760479,2.02063702764861,-0.474280773722323,0.690225001003995,1.67883,0.0733144,1.86912,14.1606,0.0775532,0.23314,0,0,-0.550975,50.8759,0.278411,0.138599,16.7153,0.175112,0.656354,60,0.498212,0.216899,0,0.29803,0.0100225,16.457,7
41,1,1,70,Sad,2,,SM1,1,SM1.8,8,"00:14,14",-85,-0.85,59,0.59,-0.0441666666666667,0.427353776162093,12,245.56,259.96,0.509253867081327,1.17122268912456,-0.186560244875147,-0.362889494745246,1.49997754562111,1.49605024502741,0.0437210812135063,0.910044054904075,-0.21056783912788,1.47553390854931,0,0.190285,-0.522156,21.4763,0.0726978,0.0431021,0,0,-0.550975,55.1532,0.152648,-0.555072,26.0724,0.0560032,0.513997,60,0.388193,0.452972,0,0.147121,-0.391736,14.396,8
